POLICY_EXCEPTION_EXPIRED	policy-scan	Reject	RequiresHumanReview	expired exception	Rejects expired policy exceptions.
POLICY_EXCEPTION_INVALID_FIELD	policy-scan	Reject	RequiresHumanReview	invalid exception field	Rejects malformed policy exception fields.
POLICY_EXCEPTION_PARSE_ERROR	policy-scan	Reject	RequiresHumanReview	exception parse error	Rejects invalid policy exception syntax.
POLICY_EXCEPTION_MISSING_FIELD	policy-scan	Reject	RequiresHumanReview	missing exception field	Rejects incomplete policy exceptions.
HOLZMAN_PANIC_PANIC	dylint	Reject	RequiresHumanReview	panic!	Rejects production panic! paths.
HOLZMAN_PANIC_ASSERT	dylint	Reject	RequiresHumanReview	assert!	Rejects production assert! panic paths.
HOLZMAN_PANIC_ASSERT_EQ	dylint	Reject	RequiresHumanReview	assert_eq!	Rejects production assert_eq! panic paths.
HOLZMAN_PANIC_ASSERT_NE	dylint	Reject	RequiresHumanReview	assert_ne!	Rejects production assert_ne! panic paths.
HOLZMAN_PANIC_TODO	dylint	Reject	RequiresHumanReview	todo!	Rejects unfinished production todo! placeholders.
HOLZMAN_PANIC_UNIMPLEMENTED	dylint	Reject	RequiresHumanReview	unimplemented!	Rejects unfinished production unimplemented! placeholders.
HOLZMAN_PANIC_UNREACHABLE	dylint	Reject	RequiresHumanReview	unreachable!	Rejects production unreachable! panic paths.
HOLZMAN_PANIC_DBG	dylint	Reject	RequiresHumanReview	dbg!	Rejects production dbg! debug surface.
PANIC_SURFACE_001	panic-scan	Reject	RequiresHumanReview	legacy panic surface	Retired panic-scan compatibility rule; Dylint emits HOLZMAN_PANIC_* findings.
DENY_ADVISORY	deny	Reject	RequiresHumanReview	RustSec advisory	Rejects dependency security advisories.
DENY_LICENSE	deny	Reject	RequiresHumanReview	license rejected or unlicensed	Rejects dependency license violations.
DENY_BANNED_CRATE	deny	Reject	RequiresHumanReview	banned crate	Rejects banned dependency crates.
DENY_MULTIPLE_VERSIONS	deny	Informational	RequiresHumanReview	duplicate crate versions	Reports duplicate dependency versions.
DENY_UNKNOWN_REGISTRY	deny	Reject	RequiresHumanReview	unknown registry source	Rejects dependencies from unknown registries.
DENY_UNKNOWN_GIT	deny	Reject	RequiresHumanReview	unknown git source	Rejects dependencies from unknown git sources.
DENY_UNKNOWN	deny	Reject	RequiresHumanReview	unmapped cargo-deny code	Reports unmapped cargo-deny diagnostics.
DENY_INFRA_FAILURE	deny	Reject	RequiresHumanReview	cargo-deny infrastructure failure	Reports cargo-deny infrastructure failures.
FORBIDDEN_001	forbidden-scan	Reject	RequiresHumanReview	panic/unwrap/expect/todo/unimplemented/dbg	Rejects configured forbidden source tokens.
CARGO_FMT_001	cargo	Reject	RequiresHumanReview	cargo fmt failure	Reports cargo fmt lane failures.
CARGO_COMPILE_001	cargo	Reject	RequiresHumanReview	cargo check failure	Reports cargo check lane failures.
CARGO_CLIPPY_001	cargo	Reject	RequiresHumanReview	cargo clippy failure	Reports cargo clippy lane failures.
CARGO_TEST_001	cargo	Reject	RequiresHumanReview	cargo test failure	Reports cargo test lane failures.
CARGO_BUILD_001	cargo	Reject	RequiresHumanReview	cargo build failure	Reports cargo build lane failures.
CLIPPY_UNKNOWN	clippy	Reject	RequiresHumanReview	unknown clippy diagnostic	Fallback for unknown clippy diagnostics.
COMPILE_SPLIT	source-length	Reject	RequiresHumanReview	legacy compile split layout	Reports missing legacy compile-split source layout when applicable.
FN_LINE_LIMIT	source-length	Reject	RequiresHumanReview	function logical line limit	Rejects functions over the configured logical line limit.
MUTANTS_RESIDUE	source-length	Reject	RequiresHumanReview	cargo-mutants residue	Rejects cargo-mutants residue markers in first-party source.
SRC_LEN_LEDGER	source-length	Reject	RequiresHumanReview	source-length exception ledger	Rejects invalid source-length exception ledger entries.
SRC_LINE_LIMIT	source-length	Reject	RequiresHumanReview	source physical line limit	Rejects source files over the configured physical line limit.
